asllex-1_dollar 	https://youtube.com/watch?v=AUSK0BQLpyo	1 dollar	AUSK0BQLpyo
asllex-5_dollars	https://youtube.com/watch?v=U4-_lED3P18	5 dollars	U4-_lED3P18
asllex-8_hour 	https://youtube.com/watch?v=1gytMfgbDeY	8 hour	1gytMfgbDeY
asllex-9_oclock 	https://youtube.com/watch?v=XfA6K6W77AE	9 oclock	XfA6K6W77AE
asllex-about_1	https://youtube.com/watch?v=7_FVUzjWdTM	about	7_FVUzjWdTM
asllex-about_2	https://youtube.com/watch?v=Yhlt-P3GeBM	about	Yhlt-P3GeBM
asllex-accident 	https://youtube.com/watch?v=l5KxrD1W7oQ	accident	l5KxrD1W7oQ
asllex-accomplish 	https://youtube.com/watch?v=oQwa1MC6jrg	accomplish	oQwa1MC6jrg
asllex-accountant 	https://youtube.com/watch?v=D3E2jFnZsEQ	accountant	D3E2jFnZsEQ
asllex-act	https://youtube.com/watch?v=QiYBOsNjU6E	act	QiYBOsNjU6E
asllex-action 	https://youtube.com/watch?v=rdgPTKFJDwg	action	rdgPTKFJDwg
asllex-actor	https://youtube.com/watch?v=qSnQk_qh4ig	actor	qSnQk_qh4ig
asllex-address	https://youtube.com/watch?v=6Wy0n0GfXcM	address	6Wy0n0GfXcM
asllex-adult	https://youtube.com/watch?v=Smr3quzVJig	adult	Smr3quzVJig
asllex-africa 	https://youtube.com/watch?v=niBJ6C9Rs_8	africa	niBJ6C9Rs_8
asllex-after	https://youtube.com/watch?v=ao9A1mhi5Ps	after	ao9A1mhi5Ps
asllex-age	https://youtube.com/watch?v=8uBr4Nr4xYM	age	8uBr4Nr4xYM
asllex-agreement	https://youtube.com/watch?v=ng3kpuTdX6g	agreement	ng3kpuTdX6g
asllex-airplane 	https://youtube.com/watch?v=np52MbRb0TM	airplane	np52MbRb0TM
asllex-alarm	https://youtube.com/watch?v=o6AbLt8vmBw	alarm	o6AbLt8vmBw
asllex-all	https://youtube.com/watch?v=-lxp0xh1smo	all	-lxp0xh1smo
asllex-alone	https://youtube.com/watch?v=3ekpuQTDedA	alone	3ekpuQTDedA
asllex-alphabet 	https://youtube.com/watch?v=DKRMLledZ2M	alphabet	DKRMLledZ2M
asllex-amazing	https://youtube.com/watch?v=TlZK1Z41krc	amazing	TlZK1Z41krc
asllex-america	https://youtube.com/watch?v=u8qjgzr11Ik	america	u8qjgzr11Ik
asllex-and	https://youtube.com/watch?v=4copJVW6mI0	and	4copJVW6mI0
asllex-angel	https://youtube.com/watch?v=aeSz6NYz_C8	angel	aeSz6NYz_C8
asllex-angry	https://youtube.com/watch?v=YyOXjqoQcvQ	angry	YyOXjqoQcvQ
asllex-animal 	https://youtube.com/watch?v=7uGqFbh6Un4	animal	7uGqFbh6Un4
asllex-announce 	https://youtube.com/watch?v=0-fSl3iuZE4	announce	0-fSl3iuZE4
asllex-appear 	https://youtube.com/watch?v=iaISY2eSCHU	appear	iaISY2eSCHU
asllex-apple	https://youtube.com/watch?v=jVqjCsYCoMM	apple	jVqjCsYCoMM
asllex-appointment	https://youtube.com/watch?v=T3geO4kqbQw	appointment	T3geO4kqbQw
asllex-arm	https://youtube.com/watch?v=bLBLWrmByOo	arm	bLBLWrmByOo
asllex-army 	https://youtube.com/watch?v=BtAyEffmpyU	army	BtAyEffmpyU
asllex-arrive 	https://youtube.com/watch?v=5Yztl5YcS0I	arrive	5Yztl5YcS0I
asllex-art	https://youtube.com/watch?v=tN_Fkaq2qiQ	art	tN_Fkaq2qiQ
asllex-asia 	https://youtube.com/watch?v=9xVKk9RXKWQ	asia	9xVKk9RXKWQ
asllex-ask	https://youtube.com/watch?v=e9NMN5VpAWk	ask	e9NMN5VpAWk
asllex-attention	https://youtube.com/watch?v=kXWHLHNZFuM	attention	kXWHLHNZFuM
asllex-awkward	https://youtube.com/watch?v=mhrly2XQjoA	awkward	mhrly2XQjoA
